,building_id,age,area_percentage,height_percentage,land_surface_condition,foundation_type,position,plan_configuration,has_superstructure_adobe_mud,has_superstructure_stone_flag,has_superstructure_cement_mortar_stone,has_superstructure_mud_mortar_brick,has_superstructure_timber,has_superstructure_bamboo,has_superstructure_other,damage_grade
0,802906,30,6,5,t,r,t,d,1,0,0,0,0,0,0,3
1,28830,10,8,7,o,r,s,d,0,0,0,0,0,0,0,2
2,94947,10,5,5,t,r,t,d,0,0,0,0,0,0,0,3
3,590882,10,6,5,t,r,s,d,0,0,0,0,1,1,0,2
4,201944,30,8,9,t,r,s,d,1,0,0,0,0,0,0,3
5,333020,10,9,5,t,r,s,d,0,0,0,0,0,0,0,2
6,728451,25,3,4,n,r,s,d,0,0,0,0,0,0,0,3
7,475515,0,8,6,t,w,s,u,0,0,0,0,1,0,0,1
8,441126,15,8,6,t,r,s,d,0,0,0,0,1,0,0,2
9,989500,0,13,4,t,i,s,d,0,0,0,0,0,0,0,1
10,7962,20,9,6,t,r,t,d,0,0,0,0,1,0,0,3
11,452227,10,8,4,t,u,t,d,0,0,0,0,0,0,0,2
12,444381,15,6,5,t,r,s,d,0,0,0,0,1,1,0,2
13,287845,45,7,7,t,r,s,d,0,0,0,0,1,0,0,3
14,605134,25,7,6,t,r,s,d,0,1,0,0,1,0,0,3
15,563431,55,4,4,n,r,s,d,0,0,0,0,0,0,0,2
16,633759,5,7,5,t,r,t,d,0,0,0,0,0,0,0,2
17,980230,10,7,7,t,r,s,d,1,0,0,0,0,0,0,3
18,354011,20,12,3,t,u,s,d,0,0,0,0,0,0,0,2
19,483543,20,16,4,t,r,s,d,0,0,0,0,0,0,0,3
20,793397,40,7,5,t,r,j,d,1,0,0,0,0,0,0,2
21,433870,30,6,5,t,r,s,d,0,0,0,0,0,0,0,2
22,219578,0,6,5,t,r,s,d,0,0,0,0,1,0,0,2
23,933368,25,6,6,n,r,s,d,0,0,0,0,0,0,0,2
24,519606,80,5,5,t,r,s,d,0,0,0,0,0,0,0,2
25,801078,40,5,5,t,r,s,d,0,0,0,0,0,0,0,3
26,973909,10,11,5,t,r,s,d,0,0,0,0,0,0,0,2
27,858160,15,8,5,n,u,s,d,0,0,0,0,0,0,0,2
28,466558,10,7,6,t,r,s,d,0,0,0,0,1,0,0,2
29,529366,60,27,10,t,r,t,s,1,0,0,0,0,0,0,3
30,406413,35,11,5,t,r,s,d,0,0,0,0,1,0,0,2
31,16485,15,13,5,t,w,s,d,0,0,0,0,1,0,0,2
32,157370,20,4,4,t,r,s,d,0,0,0,0,0,0,0,2
33,119565,10,3,6,t,r,s,d,0,0,0,0,0,0,0,2
34,141871,15,7,5,t,h,j,d,0,0,0,0,0,0,0,3
